"""ClassificationCode""","""ClassificationCode"" Descriptions"
1398,SPECIALIZED AMMUNITION HANDLING AND SERVICING EQUIPMENT
14,GUIDED MISSLES
1410,GUIDED MISSILES
1420,GUIDED MISSILE COMPONENTS
1425,"GUIDED MISSILE SYSTEMS, COMPLETE"
1427,GUIDED MISSILE SUBSYSTEMS
1430,GUIDED MISSILE REMOTE CONTROL SYSTEMS
1430,GUIDED MISSILE REMOTE CONT SYSTEMS
1440,"LAUNCHERS, GUIDED MISSILE"
1450,GUIDED MISSILE HANDLING SERVICE EQ
1450,GUIDED MISSILE HANDLING AND SERVICING EQUIPMENT
15,AIRCRAFT/AIRFRAME STRUCTURE COMPTS
15,AEROSPACE CRAFT AND STRUCTURAL COMPONENTS
1510,"AIRCRAFT, FIXED WING"
1520,"AIRCRAFT, ROTARY WING"
1540,GLIDERS
1550,DRONES
1550,UNMANNED AIRCRAFT
1555,SPACE VEHICLES
1560,AIRFRAME STRUCTURAL COMPONENTS
16,AIRCRAFT COMPONENTS/ACCESSORIES
16,AEROSPACE CRAFT COMPONENTS AND ACCESSORIES
1610,AIRCRAFT PROPELLERS AND COMPONENTS
1615,"HELICOPTER ROTOR BLADES, DRIVE MECHANISMS AND COMPONENTS"
1615,HELICOPTER ROTOR BLADES-DRIVE MECH
1620,AIRCRAFT LANDING GEAR COMPONENTS
1630,AIRCRAFT WHEEL AND BRAKE SYSTEMS
1640,AIRCRAFT CONTROL CABLE PRODUCTS
1650,"AIRCRAFT HYDRAULIC, VACUUM, AND DE-ICING SYSTEM COMPONENTS"
1650,AIRCRAFT HYDRAULIC VACUUM DE-ICING
1660,"AIRCRAFT AIR CONDITIONING, HEATING, AND PRESSURIZING EQUIPMENT"
1660,AIRCRAFT AIR CONDITION HEATING EQ
1670,"PARACHUTES; AERIAL PICK UP, DELIVERY, RECOVERY SYSTEMS; AND CARGO TIE DOWN EQUIPMENT"
1670,PARACHUTE RECOVER SYS & TIE DOWN EQ
1675,SPACE VEHICLE COMPONENTS
1677,SPACE VEHICLE REMOTE CONTROL SYSTEMS
1680,MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS
1680,MISCL AIRCRAFT ACCESSORIES COMPS
17,AIRCRAFT LAUNCH/LAND/GROUND HANDLE
17,"AEROSPACE CRAFT LAUNCHING, LANDING, GROUND HANDLING AND SERVICING EQUIPMENT"
1710,AIRCRAFT LANDING EQUIPMENT
1720,AIRCRAFT LAUNCHING EQUIPMENT
1725,SPACE VEHICLE LAUNCHERS
1730,AIRCRAFT GROUND SERVICING EQUIPMENT
1735,SPACE VEHICLE HANDLING AND SERVICING EQUIPMENT
1740,AIRFIELD SPECIAL TRUCKS & TRAILERS
1740,AIRFIELD SPECIALIZED TRUCKS AND TRAILERS
18,SPACE VEHICLES
1810,SPACE VEHICLES
1820,SPACE VEHICLE COMPONENTS
1830,SPACE VEHICLE REMOTE CONTROL SYSTEMS
1830,SPACE VEHICLE REMOTE CONT SYSTEMS
1840,SPACE VEHICLE LAUNCHERS
1850,SPACE VEHICLE HANDLING & SERVICE EQ
1850,SPACE VEHICLE HANDLING AND SERVICING EQUIPMENT
1860,SPACE SURVIVAL EQUIPMENT
19,"SHIPS, SMALL CRAFT, PONTOON, DOCKS"
1900,FRIGATES ANS CORVETTES
1901,AIRCRAFT CARRIERS
1902,CRUISERS
1903,DESTROYERS
1904,SUBMARINES
1905,COMBAT SHIPS AND LANDING VESSELS
1906,MINELAYERS ADN MINESWEEPERS
1907,LANDING CRAFT
1908,TORPEDO BOATS AND GUN BOATS
1909,HYDROFOILS
1910,TRANSPORT VESSELS-PASSENGER & TROOP
1910,"TRANSPORT VESSELS, PASSENGER AND TROOP"
1911,AMPHIBIOUS ASSAULT SHIPS
1915,CARGO AND TANKER VESSELS
1920,FISHING VESSELS
1921,TUGS AND TOWBOATS
1922,FIRE BOATS
1923,ICE BREAKERS
1924,REPAIR SHIPS
1925,SPECIAL SERVICE VESSELS
1926,LIGHTSHIPS
1927,CABLE SHIPS
1928,SALVAGE VESSELS
1929,RESCUE VESSELS
1930,"BARGES AND LIGHTERS, CARGO"
1935,BARGES & LIGHTERS SPECIAL PURPOSE
1935,"BARGES AND LIGHTERS, SPECIAL PURPOSE"
1940,SMALL CRAFT
1945,PONTOONS AND FLOATING DOCKS
1950,FLOATING DRYDOCKS
1955,DREDGES
1990,MISCELLANEOUS VESSELS
20,SHIP AND MARINE EQUIPMENT
2010,SHIP AND BOAT PROPULSION COMPONENTS
2020,RIGGING AND RIGGING GEAR
2030,DECK MACHINERY
2040,MARINE HARDWARE AND HULL ITEMS
2050,BUOYS
2060,COMMERCIAL FISHING EQUIPMENT
2090,MISC SHIP & MARINE EQ
2090,MISCELLANEOUS SHIP AND MARINE EQUIPMENT
22,RAILWAY EQUIPMENT
2210,LOCOMOTIVES
2220,RAIL CARS
2230,RAILROAD RIGHT OF WAY CONSTR EQ
2230,"RIGHT-OF-WAY CONSTRUCTION AND MAINTENANCE EQUIPMENT, RAILROAD"
2240,LOCOMOTIVE AND RAIL CAR ACCESSORIES AND COMPONENTS
2240,LOCOMOTIVE & RAIL CAR ACCESSORIES
2250,"TRACK MATERIAL, RAILROAD"
23,"MOTOR VEHICLES, CYCLES, TRAILERS"
2305,GROUND EFFECT VEHICLES
2310,PASSENGER MOTOR VEHICLES
2320,"TRUCKS AND TRUCK TRACTORS, WHEELED"
2330,TRAILERS
2340,"MOTORCYCLES, MOTOR SCOOTERS, AND BICYCLES"
2340,"MOTORCYCLE,MOTOR SCOOTERS & BIKES"
2350,"COMBAT, ASSAULT, AND TACTICAL VEHICLES, TRACKED"
2350,COMBAT ASSAULT & TACTICAL VEH
2355,COMBAT ASSAULT AND TACTICAL VEHICLES WHEELED
2355,"COMBAT, ASSAULT, AND TACTICAL VEHICLES, WHEELED"
24,TRACTORS
2410,"TRACTOR, FULL TRACKED, LOW SPEED"
2410,"TRACTORS, FULL TRACKED, LOW SPEED"
2420,"TRACTORS, WHEELED"
2430,"TRACTORS, FULL TRACKED, HIGH SPEED"
25,VEHICULAR EQUIPMENT COMPONENTS
2510,"VEHICULAR CAB, BODY, AND FRAME STRUCTURAL COMPONENTS"
2510,VEH CAB BODY FRAME STRUCTURAL COMP
2520,VEHICULAR POWER TRANSMISSION COMPONENTS
2520,VEH POWER TRANSMISSION COMPONENTS
2530,VEH BRAKE STEERING AXLE WHEEL COMP
2530,"VEHICULAR BRAKE, STEERING, AXLE, WHEEL, AND TRACK COMPONENTS"
2540,VEHICULAR FURNITURE AND ACCESSORIES
2541,WEAPONS SYSTEMS SPECIFIC VEHICULAR ACCESSORIES
2541,VEH ACCESSORY/WEAPONS SYS SPECIFIC
2590,MISCELLANEOUS VEHICULAR COMPONENTS
26,TIRES AND TUBES
2610,TIRES & TUBES PNEUMATIC EXCEPT AIR
2610,"TIRES AND TUBES, PNEUMATIC, EXCEPT AIRCRAFT"
2620,"TIRES AND TUBES, PNEUMATIC, AIRCRAFT"
2620,TIRES & TUBES PNEUMATIC AIRCRAFT
2630,"TIRES, SOLID AND CUSHION"
2640,TIRE REBUILDING AND TIRE AND TUBE REPAIR MATERIALS
2640,TIRES & TUBES REBUILDING-REP MTL
28,ENGINES AND TURBINES AND COMPONENT
2805,"GASOLINE RECIPROCATING ENGINES, EXCEPT AIRCRAFT; AND COMPONENTS"
2805,GAS RECIPROCATING ENG - EXCEPT AIR
2810,"GASOLINE RECIPROCATING ENGINES, AIRCRAFT PRIME MOVER; AND COMPONENTS"
2810,GAS RECIPROCATING ENG - AIRCRAFT
2815,DIESEL ENGINES AND COMPONENTS
2820,"STEAM ENGINES, RECIPROCATING; AND COMPONENTS"
2820,STEAM ENGINES RECIPROCATING & COMPS
2825,STEAM TURBINES AND COMPONENTS
2830,WATER TURBINES AND WATER WHEELS; AND COMPONENTS
2830,"WATER TURBINES,WATER WHEELS & COMPS"
2835,"GAS TURBINES AND JET ENGINES; NON-AIRCRAFT PRIME MOVER, AIRCRAFT NON-PRIME MOVER, AND COMPONENTS"
2835,GAS TURBINES & JET ENG EXCEPT AIR
2840,"GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS"
2840,GAS TURBINES & JET ENGINES AIRCRAFT
2845,ROCKET ENGINES AND COMPONENTS
2850,GASOLINE ROTARY ENGINES AND COMPONENTS
2850,GASOLINE ROTORY ENGINES & COMPS
2895,MISCELLANEOUS ENGINES AND COMPONENTS
2895,MISC ENGINES & COMPONENTS
29,ENGINE ACCESSORIES
2910,"ENGINE FUEL SYSTEM COMPONENTS, NONAIRCRAFT"
2910,ENGINE FUEL SYS COMPONENTS NONAIR
2915,"ENGINE FUEL SYSTEM COMPONENTS, AIRCRAFT AND MISSILE PRIME MOVERS"
2915,ENGINE FUEL SYSTEM COMPONENTS AIR
2920,"ENGINE ELECTRICAL SYSTEM COMPONENTS, NONAIRCRAFT"
2920,ENGINE ELECT SYS COMPS NONAIRCRAFT
2925,"ENGINE ELECTRICAL SYSTEM COMPONENTS, AIRCRAFT PRIME MOVING"
2925,ENGINE ELECT SYS COMPS - AIRCRAFT
2930,"ENGINE COOLING SYSTEM COMPONENTS, NONAIRCRAFT"
2930,ENGINE COOLING SYS COMPS - NONAIR
2935,"ENGINE SYSTEM COOLING COMPONENTS, AIRCRAFT PRIME MOVING"
2935,ENGINE COOLING SYS COMPONENTS - AIR
2940,"ENGINE AIR AND OIL FILTERS, STRAINERS, AND CLEANERS, NONAIRCRAFT"
2940,ENGINE AIR & OIL FILTERS - NONAIR
2945,"ENGINE AIR AND OIL FILTERS, CLEANERS, AIRCRAFT PRIME MOVING"
2945,ENGINE AIR & OIL FILTERS - AIR
2950,TURBOSUPERCHARGER AND COMPONENTS
2950,TURBOSUPERCHARGERS AND COMPONENTS
2990,"MISCELLANEOUS ENGINE ACCESSORIES, NONAIRCRAFT"
2990,MISC ENGINE ACCESSORIES - NONAIR
2995,"MISCELLANEOUS ENGINE ACCESSORIES, AIRCRAFT"
2995,MISC ENGINE ACCESSORIES - AIRCRAFT
30,MECHANICAL POWER TRANSMISSION EQPT
3010,TORQUE CONVERTERS & SPEED CHANGERS
3010,TORQUE CONVERTERS AND SPEED CHANGERS
3020,"GEARS, PULLEYS, SPROCKETS, AND TRANSMISSION CHAIN"
3020,GEAR PULLEY SPROCKET & TRAN CHAIN
3030,"BELTING, DRIVE BELTS, FAN BELTS, AND ACCESSORIES"
3030,BELTING DRIVE BELTS FAN BELTS & ACC
3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT
3040,MISC POWER TRANSMISSION EQ
31,BEARINGS
3110,"BEARINGS, ANTIFRICTION, UNMOUNTED"
3120,"BEARINGS, PLAIN, UNMOUNTED"
3130,"BEARINGS, MOUNTED"
32,WOODWORKING MACHINERY AND EQPT
3210,SAWMILL AND PLANING MILL MACHINERY
3220,WOODWORKING MACHINES
3230,TOOLS - ATTACHS FOR WOODWORK MACH
3230,TOOLS AND ATTACHMENTS FOR WOODWORKING MACHINERY
34,METALWORKING MACHINERY
3405,SAWS AND FILING MACHINES
3408,MACHINING CENTERS AND WAY-TYPE MACHINES
3408,MACHING CENTERS & WAY-TYPE MACHINES
3410,ELECT & ULTRASONIC EROSION MACHINES
3410,ELECTRICAL AND ULTRASONIC EROSION MACHINES
3411,BORING MACHINES.
3411,BORING MACHINES
3412,BROACHING MACHINES
3413,DRILLING AND TAPPING MACHINES
3414,GEAR CUTTING AND FINISHING MACHINES
3415,GRINDING MACHINES
3416,LATHES
3417,MILLING MACHINES
3418,PLANERS AND SHAPERS
3419,MISCELLANEOUS MACHINE TOOLS
3422,ROLLING MILLS AND DRAWING MACHINES
3424,METAL HEAT TREATING AND NON-THERMAL TREATING EQUIPMENT
3424,METAL HEAT TREATING EQ
3426,METAL FINISHING EQUIPMENT
3431,ELECTRIC ARC WELDING EQUIPMENT
3432,ELECTRIC RESISTANCE WELDING EQUIPMENT
3432,ELECTRIC RESISTANCE WELDING EQ
3433,"GAS WELDING, HEAT CUTTING, AND METALIZING EQUIPMENT"
3433,GAS WELD HEAT CUT - METALIZING EQ
3436,WELDING POSITIONERS & MANIPULATORS
3436,WELDING POSITIONERS AND MANIPULATORS
3438,MISCELLANEOUS WELDING EQUIPMENT
3439,MISC WELD SOLDER & BRAZING SUPPLY
3439,"MISCELLANEOUS WELDING, SOLDERING, AND BRAZING SUPPLIES AND ACCESSORIES"
3441,BENDING AND FORMING MACHINES
3442,"HYDRAULIC AND PNEUMATIC PRESSES, POWER DRIVEN"
3442,HYDRAULIC/PNEUMATIC POWER PRESS DR
3443,"MECHANICAL PRESSES, POWER DRIVEN"
3444,MANUAL PRESSES
3445,PUNCHING AND SHEARING MACHINES
3446,FORGING MACHINERY AND HAMMERS
3447,WIRE AND METAL RIBBON FORMING MACHINES
3447,WIRE & METAL RIBBON FORMING MACHS
3448,RIVETING MACHINES
3449,MISCELLANEOUS SECONDARY METAL FORMING AND CUTTING MACHINES
3449,MSC SECONDARY METAL FORM-CUT MACH
3450,"MACHINE TOOLS, PORTABLE"
3455,CUTTING TOOLS FOR MACHINE TOOLS
3456,CUTTING AND FORMING TOOLS FOR SECONDARY METALWORKING MACHINERY
3456,SECONDARY METAL MACH-CUTTING TOOLS
3460,MACHINE TOOL ACCESSORIES
3461,ACCESSORIES FOR SECONDARY METALWORKING MACHINERY
3461,SECONDARY METALWORKING MACH-ACCESS
3465,"PRODUCTION JIGS, FIXTURES, AND TEMPLATES"
3465,PRODUCTION JIGS FIXTURES & TEMPLATE
3470,"MACHINE SHOP SETS, KITS, AND OUTFITS"
3470,MACHINE SHOP SETS KITS & OUTFITS
35,SERVICE AND TRADE EQPT
3510,LAUNDRY AND DRY CLEANING EQUIPMENT
3520,SHOE REPAIRING EQUIPMENT
3530,INDUSTRIAL SEWING MACHINES AND MOBILE TEXTILE REPAIR SHOPS
3530,IND SEW MACH & MOBILE TEXTILE SHOPS
3540,WRAPPING AND PACKAGING MACHINERY
3550,VENDING AND COIN OPERATED MACHINES
3590,MISC SERVICE & TRADE EQ
3590,MISCELLANEOUS SERVICE AND TRADE EQUIPMENT
36,SPECIAL INDUSTRY MACHINERY
3605,FOOD PRODUCTS MACHINE & EQ
3605,FOOD PRODUCTS MACHINERY AND EQUIPMENT
3610,"PRINTING, DUPLICATING, AND BOOKBINDING EQUIPMENT"
3610,"PRINTING,DUPLICATING & BOOKBIND EQ"
3611,INDUSTRIAL MARKING MACHINES
3615,PULP AND PAPER INDUSTRIES MACHINERY
3620,RUBBER AND PLASTICS WORKING MACHINERY
3620,RUBBER & PLASTIC WORKING MACHINE
3625,TEXTILE INDUSTRIES MACHINERY
3630,CLAY AND CONCRETE PRODUCTS INDUSTRIES MACHINERY
3630,CLAY-CONCRETE PRODUCTS MACH
3635,CRYSTAL & GLASS INDUSTRIES MACHINE
3635,CRYSTAL AND GLASS INDUSTRIES MACHINERY
3640,TOBACCO MANUFACTURING MACHINERY
3645,LEATHER TANNING AND LEATHER WORKING INDUSTRIES MACHINERY
3645,LEATHER TANNING & WORKING MACHINE
3650,CHEMICAL AND PHARMACEUTICAL PRODUCTS MANUFACTURING MACHINERY
3650,CHEMICAL & PHARMACEUTICAL MACHINE
3655,"GAS GENERATING AND DISPENSING SYSTEMS, FIXED OR MOBILE"
3655,GAS GENERATING & DISPENSING SYSTEM
3660,INDUSTRIAL SIZE REDUCTION MACHINERY
3670,"SPECIALIZED SEMICONDUCTOR, MICROCIRCUIT, AND PRINTED CIRCUIT BOARD MANUFACTURING MACHINERY"
3670,PRINTED CIRCUIT BOARD MFG MACH
3680,"FOUNDRY MACHINERY, RELATED EQUIPMENT AND SUPPLIES"
3680,FOUNDRY MACHINE - RELATED EQ & SUP
3685,SPECIAL METAL CONTAINER MFG MACH
3685,SPECIALIZED METAL CONTAINER MANUFACTURING MACHINERY AND RELATED EQUIPMENT
3690,SPECIALIZED AMMUNITION AND ORDNANCE MACHINERY AND RELATED EQUIPMENT
3690,SPECIAL AMMUNITION & ORDNANCE MACH
3693,INDUSTRIAL ASSEMBLY MACHINES
3694,"CLEAN WORK STATIONS, CONTROLLED ENVIRONMENT, AND RELATED EQUIPMENT"
3694,CLEAN WORK STATIONS ENVIRONMENT EQ
3695,MISC SPECIAL INDUSTRY MACHINE
3695,MISCELLANEOUS SPECIAL INDUSTRY MACHINERY
37,AGRICULTURAL MACHINERY AND EQPT
3710,SOIL PREPARATION EQUIPMENT
3720,HARVESTING EQUIPMENT
3730,"DAIRY, POULTRY, AND LIVESTOCK EQUIPMENT"
3730,DAIRY POULTRY & LIVESTOCK EQ
3740,"PEST, DISEASE, AND FROST CONTROL EQUIPMENT"
3740,PEST DISEASE & FROST CONT EQ
3750,GARDENING IMPLEMENTS AND TOOLS
3760,ANIMAL DRAWN VEHICLE & FARM TRAILER
3770,"SADDLERY, HARNESS, WHIPS & FURNISHING"
3770,"SADDLERY, HARNESS, WHIPS, AND RELATED ANIMAL FURNISHINGS"
38,CONSTRUCT/MINE/EXCAVATE/HIGHWY EQPT
3805,EARTH MOVING AND EXCAVATING EQUIPMENT
3805,EARTH MOVING & EXCAVATING EQ
3810,CRANES AND CRANE-SHOVELS
3815,CRANE AND CRANE-SHOVEL ATTACHMENTS
3820,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT"
3820,"MINING,ROCK DRILLING,EARTH BORE EQ"
3825,"ROAD CLEARING, CLEANING, AND MARKING EQUIPMENT"
3825,ROAD CLEARING & CLEANING EQ
3830,TRUCK AND TRACTOR ATTACHMENTS
3835,PETROLEUM PRODUCTION AND DISTRIBUTION EQUIPMENT
3835,PETROLEUM PRODUCTION-DISTRIB EQ
3895,MISCELLANEOUS CONSTRUCTION EQUIPMENT
3895,MISC CONTRUCT EQ
39,MATERIALS HANDLING EQPT
3910,CONVEYORS
3915,MATERIALS FEEDERS
3920,MAT HANDLING EQ - NONSELF-PROPELLED
3920,"MATERIAL HANDLING EQUIPMENT, NONSELF-PROPELLED"
3930,WAREHOUSE TRKS & TRACTORS SELF-PROP
3930,"WAREHOUSE TRUCKS AND TRACTORS, SELF-PROPELLED"
3940,"BLOCKS, TACKLE, RIGGING, AND SLINGS"
3950,"WINCHES, HOISTS, CRANES, AND DERRICKS"
3950,WINCHES HOISTS CRANES & DERRICKS
3960,FREIGHT ELEVATORS
3990,MISC MATERIALS HANDLING EQ
3990,MISCELLANEOUS MATERIALS HANDLING EQUIPMENT
40,"ROPE, CABLE, CHAIN, FITTINGS"
4010,CHAIN AND WIRE ROPE
4020,"FIBER ROPE, CORDAGE, AND TWINE"
4030,"FITTINGS FOR ROPE, CABLE, AND CHAIN"
41,"REFRIG, AIR CONDIT/CIRCULAT EQPT"
4110,REFRIGERATION EQUIPMENT
4120,AIR CONDITIONING EQUIPMENT
4130,REFRIGERATION AND AIR CONDITIONING COMPONENTS
4130,REFRIGERATION & AIR CONDITION COMP
4140,"FANS, AIR CIRCULATORS, AND BLOWER EQUIPMENT"
4140,FANS AIR CIRCULATORS & BLOWER EQ
4150,VORTEX TUBES AND REL. COOLING TUBES
4150,VORTEX TUBES AND OTHER RELATED COOLING TUBES
42,FIRE/RESCUE/SAFETY; ENVIRO PROTECT
4210,FIRE FIGHTING EQUIPMENT
4220,MARINE LIFESAVING & DIVING EQ
4220,MARINE LIFESAVING AND DIVING EQUIPMENT
4230,DECONTAMINATING & IMPREGNATING EQ
4230,DECONTAMINATING AND IMPREGNATING EQUIPMENT
4235,Haz. Mat. Spill Cntnmnt. & Clean-up
4235,HAZARDOUS MATERIAL SPILL CONTAINMENT AND CLEAN-UP EQUIPMENT AND MATERIAL
4240,SAFETY AND RESCUE EQUIPMENT
4250,RECYCLING AND RECLAMATION EQUIPMENT
43,PUMPS AND COMPRESSORS
4310,COMPRESSORS AND VACUUM PUMPS
4320,POWER AND HAND PUMPS
4330,"CENTRIFUGALS, SEPARATORS, AND PRESSURE AND VACUUM FILTERS"
4330,CENTRIFUGALS SEPARATORS & FILTERS
44,FURNACE/STEAM/DRYING; NUCL REACTOR
4410,INDUSTRIAL BOILERS
4420,HEAT EXCHANGERS AND STEAM CONDENSERS
4420,HEAT EXCHANGERS & STEAM CONDENSERS
4430,"INDUSTRIAL FURNACES,KILNS & OVENS"
4430,"INDUSTRIAL FURNACES, KILNS, LEHRS, AND OVENS"
4440,DRIERS DEHYDRATORS & ANHYDRATORS
4440,"DRIERS, DEHYDRATORS, AND ANHYDRATORS"
4460,AIR PURIFICATION EQUIPMENT
4470,NUCLEAR REACTORS
45,"PLUMBING, HEATING, WASTE DISPOSAL"
4510,PLUMBING FIXTURES AND ACCESSORIES
4520,SPACE AND WATER HEATING EQUIPMENT
4530,FUEL BURNING EQUIPMENT UNITS
4540,WASTE DISPOSAL EQUIPMENT
46,WATER PURIFICATION/SEWAGE TREATMENT
4610,WATER PURIFICATION EQUIPMENT
4620,"WATER DISTILLATION EQUIPMENT, MARINE AND INDUSTRIAL"
4620,WATER DISTILL EQ-MARINE & INDUST
4630,SEWAGE TREATMENT EQUIPMENT
47,"PIPE, TUBING, HOSE, AND FITTINGS"
4710,"PIPE, TUBE AND RIGID TUBING"
4720,HOSE AND FLEXIBLE TUBING
4730,FITTINGS - HOSE PIPE & TUBE
